GEO_ID,NAME,S1502_C01_001E
13001,"Appling County, Georgia",1199
13003,"Atkinson County, Georgia",573
13005,"Bacon County, Georgia",807
13007,"Baker County, Georgia",389
13009,"Baldwin County, Georgia",6946
13011,"Banks County, Georgia",2070
13013,"Barrow County, Georgia",11296
13015,"Bartow County, Georgia",14253
13017,"Ben Hill County, Georgia",1267
13019,"Berrien County, Georgia",1635
13021,"Bibb County, Georgia",26173
13023,"Bleckley County, Georgia",1304
13025,"Brantley County, Georgia",809
13027,"Brooks County, Georgia",1903
13029,"Bryan County, Georgia",9110
13031,"Bulloch County, Georgia",12635
13033,"Burke County, Georgia",2347
13035,"Butts County, Georgia",2145
13037,"Calhoun County, Georgia",488
13039,"Camden County, Georgia",7580
13043,"Candler County, Georgia",920
13045,"Carroll County, Georgia",16193
13047,"Catoosa County, Georgia",10398
13049,"Charlton County, Georgia",1094
13051,"Chatham County, Georgia",71210
13053,"Chattahoochee County, Georgia",1137
13055,"Chattooga County, Georgia",1861
13057,"Cherokee County, Georgia",68387
13059,"Clarke County, Georgia",34300
13061,"Clay County, Georgia",387
13063,"Clayton County, Georgia",37141
13065,"Clinch County, Georgia",502
13067,"Cobb County, Georgia",253049
13069,"Coffee County, Georgia",3988
13071,"Colquitt County, Georgia",4311
13073,"Columbia County, Georgia",38541
13075,"Cook County, Georgia",1843
13077,"Coweta County, Georgia",33025
13079,"Crawford County, Georgia",976
13081,"Crisp County, Georgia",1888
13083,"Dade County, Georgia",1832
13085,"Dawson County, Georgia",6147
13087,"Decatur County, Georgia",2809
13089,"DeKalb County, Georgia",239583
13091,"Dodge County, Georgia",2258
13093,"Dooly County, Georgia",1160
13095,"Dougherty County, Georgia",12649
13097,"Douglas County, Georgia",27333
13099,"Early County, Georgia",1009
13101,"Echols County, Georgia",260
13103,"Effingham County, Georgia",10011
13105,"Elbert County, Georgia",1731
13107,"Emanuel County, Georgia",1924
13109,"Evans County, Georgia",1115
13111,"Fannin County, Georgia",4598
13113,"Fayette County, Georgia",37244
13115,"Floyd County, Georgia",13735
13117,"Forsyth County, Georgia",89689
13119,"Franklin County, Georgia",2619
13121,"Fulton County, Georgia",402523
13123,"Gilmer County, Georgia",5041
13125,"Glascock County, Georgia",227
13127,"Glynn County, Georgia",18078
13129,"Gordon County, Georgia",6225
13131,"Grady County, Georgia",2688
13133,"Greene County, Georgia",4375
13135,"Gwinnett County, Georgia",233692
13137,"Habersham County, Georgia",7207
13139,"Hall County, Georgia",33257
13141,"Hancock County, Georgia",627
13143,"Haralson County, Georgia",3452
13145,"Harris County, Georgia",7787
13147,"Hart County, Georgia",3130
13149,"Heard County, Georgia",820
13151,"Henry County, Georgia",43452
13153,"Houston County, Georgia",33011
13155,"Irwin County, Georgia",1144
13157,"Jackson County, Georgia",12516
13159,"Jasper County, Georgia",1622
13161,"Jeff Davis County, Georgia",1235
13163,"Jefferson County, Georgia",1194
13165,"Jenkins County, Georgia",501
13167,"Johnson County, Georgia",611
13169,"Jones County, Georgia",3449
13171,"Lamar County, Georgia",2211
13173,"Lanier County, Georgia",1152
13175,"Laurens County, Georgia",5501
13177,"Lee County, Georgia",6560
13179,"Liberty County, Georgia",7371
13181,"Lincoln County, Georgia",757
13183,"Long County, Georgia",1537
13185,"Lowndes County, Georgia",18362
13187,"Lumpkin County, Georgia",6797
13189,"McDuffie County, Georgia",2338
13191,"McIntosh County, Georgia",1612
13193,"Macon County, Georgia",894
13195,"Madison County, Georgia",4192
13197,"Marion County, Georgia",780
13199,"Meriwether County, Georgia",1729
13201,"Miller County, Georgia",816
13205,"Mitchell County, Georgia",1767
13207,"Monroe County, Georgia",5577
13209,"Montgomery County, Georgia",1024
13211,"Morgan County, Georgia",3775
13213,"Murray County, Georgia",2730
13215,"Muscogee County, Georgia",36851
13217,"Newton County, Georgia",15514
13219,"Oconee County, Georgia",13738
13221,"Oglethorpe County, Georgia",2213
13223,"Paulding County, Georgia",28122
13225,"Peach County, Georgia",3900
13227,"Pickens County, Georgia",5889
13229,"Pierce County, Georgia",2034
13231,"Pike County, Georgia",2607
13233,"Polk County, Georgia",3738
13235,"Pulaski County, Georgia",930
13237,"Putnam County, Georgia",4106
13239,"Quitman County, Georgia",159
13241,"Rabun County, Georgia",3320
13243,"Randolph County, Georgia",530
13245,"Richmond County, Georgia",30569
13247,"Rockdale County, Georgia",17274
13249,"Schley County, Georgia",464
13251,"Screven County, Georgia",1464
13253,"Seminole County, Georgia",1069
13255,"Spalding County, Georgia",8520
13257,"Stephens County, Georgia",2961
13259,"Stewart County, Georgia",664
13261,"Sumter County, Georgia",3644
13263,"Talbot County, Georgia",620
13265,"Taliaferro County, Georgia",111
13267,"Tattnall County, Georgia",2338
13269,"Taylor County, Georgia",868
13271,"Telfair County, Georgia",645
13273,"Terrell County, Georgia",657
13275,"Thomas County, Georgia",7930
13277,"Tift County, Georgia",4698
13279,"Toombs County, Georgia",2931
13281,"Towns County, Georgia",2922
13283,"Treutlen County, Georgia",598
13285,"Troup County, Georgia",9047
13287,"Turner County, Georgia",677
13289,"Twiggs County, Georgia",683
13291,"Union County, Georgia",4756
13293,"Upson County, Georgia",2736
13295,"Walker County, Georgia",9311
13297,"Walton County, Georgia",14860
13299,"Ware County, Georgia",3510
13301,"Warren County, Georgia",352
13303,"Washington County, Georgia",2290
13305,"Wayne County, Georgia",2762
13307,"Webster County, Georgia",229
13309,"Wheeler County, Georgia",399
13311,"White County, Georgia",4302
13313,"Whitfield County, Georgia",11716
13315,"Wilcox County, Georgia",809
13317,"Wilkes County, Georgia",843
13319,"Wilkinson County, Georgia",624
13321,"Worth County, Georgia",1589
