GEO_ID,NAME,P9_001N
13001,"Appling County, Georgia",18444
13003,"Atkinson County, Georgia",8286
13005,"Bacon County, Georgia",11140
13007,"Baker County, Georgia",2876
13009,"Baldwin County, Georgia",43799
13011,"Banks County, Georgia",18035
13013,"Barrow County, Georgia",83505
13015,"Bartow County, Georgia",108901
13017,"Ben Hill County, Georgia",17194
13019,"Berrien County, Georgia",18160
13021,"Bibb County, Georgia",157346
13023,"Bleckley County, Georgia",12583
13025,"Brantley County, Georgia",18021
13027,"Brooks County, Georgia",16301
13029,"Bryan County, Georgia",44738
13031,"Bulloch County, Georgia",81099
13033,"Burke County, Georgia",24596
13035,"Butts County, Georgia",25434
13037,"Calhoun County, Georgia",5573
13039,"Camden County, Georgia",54768
13043,"Candler County, Georgia",10981
13045,"Carroll County, Georgia",119148
13047,"Catoosa County, Georgia",67872
13049,"Charlton County, Georgia",12518
13051,"Chatham County, Georgia",295291
13053,"Chattahoochee County, Georgia",9565
13055,"Chattooga County, Georgia",24965
13057,"Cherokee County, Georgia",266620
13059,"Clarke County, Georgia",128671
13061,"Clay County, Georgia",2848
13063,"Clayton County, Georgia",297595
13065,"Clinch County, Georgia",6749
13067,"Cobb County, Georgia",766149
13069,"Coffee County, Georgia",43092
13071,"Colquitt County, Georgia",45898
13073,"Columbia County, Georgia",156010
13075,"Cook County, Georgia",17229
13077,"Coweta County, Georgia",146158
13079,"Crawford County, Georgia",12130
13081,"Crisp County, Georgia",20128
13083,"Dade County, Georgia",16251
13085,"Dawson County, Georgia",26798
13087,"Decatur County, Georgia",29367
13089,"DeKalb County, Georgia",764382
13091,"Dodge County, Georgia",19925
13093,"Dooly County, Georgia",11208
13095,"Dougherty County, Georgia",85790
13097,"Douglas County, Georgia",144237
13099,"Early County, Georgia",10854
13101,"Echols County, Georgia",3697
13103,"Effingham County, Georgia",64769
13105,"Elbert County, Georgia",19637
13107,"Emanuel County, Georgia",22768
13109,"Evans County, Georgia",10774
13111,"Fannin County, Georgia",25319
13113,"Fayette County, Georgia",119194
13115,"Floyd County, Georgia",98584
13117,"Forsyth County, Georgia",251283
13119,"Franklin County, Georgia",23424
13121,"Fulton County, Georgia",1066710
13123,"Gilmer County, Georgia",31353
13125,"Glascock County, Georgia",2884
13127,"Glynn County, Georgia",84499
13129,"Gordon County, Georgia",57544
13131,"Grady County, Georgia",26236
13133,"Greene County, Georgia",18915
13135,"Gwinnett County, Georgia",957062
13137,"Habersham County, Georgia",46031
13139,"Hall County, Georgia",203136
13141,"Hancock County, Georgia",8735
13143,"Haralson County, Georgia",29919
13145,"Harris County, Georgia",34668
13147,"Hart County, Georgia",25828
13149,"Heard County, Georgia",11412
13151,"Henry County, Georgia",240712
13153,"Houston County, Georgia",163633
13155,"Irwin County, Georgia",9666
13157,"Jackson County, Georgia",75907
13159,"Jasper County, Georgia",14588
13161,"Jeff Davis County, Georgia",14779
13163,"Jefferson County, Georgia",15709
13165,"Jenkins County, Georgia",8674
13167,"Johnson County, Georgia",9189
13169,"Jones County, Georgia",28347
13171,"Lamar County, Georgia",18500
13173,"Lanier County, Georgia",9877
13175,"Laurens County, Georgia",49570
13177,"Lee County, Georgia",33163
13179,"Liberty County, Georgia",65256
13181,"Lincoln County, Georgia",7690
13183,"Long County, Georgia",16168
13185,"Lowndes County, Georgia",118251
13187,"Lumpkin County, Georgia",33488
13189,"McDuffie County, Georgia",21632
13191,"McIntosh County, Georgia",10975
13193,"Macon County, Georgia",12082
13195,"Madison County, Georgia",30120
13197,"Marion County, Georgia",7498
13199,"Meriwether County, Georgia",20613
13201,"Miller County, Georgia",6000
13205,"Mitchell County, Georgia",21755
13207,"Monroe County, Georgia",27957
13209,"Montgomery County, Georgia",8610
